Date,Time,ESP32 Temp 1,ESP32 Temp 2,ESP32 Set Point,ESP32 Tree Range,
04/01/2022,00:17:03,71,72,60,20,
04/01/2022,00:27:03,70,72,60,20,
04/01/2022,00:37:03,70,72,60,20,
04/01/2022,00:47:03,70,71,60,20,
04/01/2022,00:57:03,70,71,60,20,
04/01/2022,01:07:03,70,71,60,20,
04/01/2022,01:17:03,70,71,60,20,
04/01/2022,01:27:03,70,71,60,20,
04/01/2022,01:37:03,70,71,60,20,
04/01/2022,01:47:03,70,71,60,20,
04/01/2022,01:57:03,70,71,60,20,
04/01/2022,02:07:03,69,71,60,20,
04/01/2022,02:17:03,69,71,60,20,
04/01/2022,02:27:03,69,71,60,20,
04/01/2022,02:37:03,69,70,60,20,
04/01/2022,02:47:03,69,70,60,20,
04/01/2022,02:57:03,69,70,60,20,
04/01/2022,03:07:03,69,70,60,20,
04/01/2022,03:17:03,69,70,60,20,
04/01/2022,03:27:03,68,70,60,20,
04/01/2022,03:37:03,68,70,60,20,
04/01/2022,03:47:03,68,70,60,20,
04/01/2022,03:57:03,68,70,60,20,
04/01/2022,04:07:03,68,69,60,20,
04/01/2022,04:17:03,68,69,60,20,
04/01/2022,04:27:03,68,69,60,20,
04/01/2022,04:37:03,67,69,60,20,
04/01/2022,04:47:03,67,69,60,20,
04/01/2022,04:57:03,67,69,60,20,
04/01/2022,05:07:03,67,69,60,20,
04/01/2022,05:17:03,67,69,60,20,
04/01/2022,05:27:03,67,68,60,20,
04/01/2022,05:37:03,67,68,60,20,
04/01/2022,05:47:03,67,68,60,20,
04/01/2022,05:57:03,66,68,60,20,
04/01/2022,06:07:03,66,68,60,20,
04/01/2022,06:17:03,66,68,60,20,
04/01/2022,06:27:03,66,68,60,20,
04/01/2022,06:37:03,66,68,60,20,
04/01/2022,06:47:03,66,68,60,20,
04/01/2022,06:57:03,67,68,60,20,
04/01/2022,07:07:03,67,68,60,20,
04/01/2022,07:17:03,67,68,60,20,
04/01/2022,07:27:03,67,68,60,20,
04/01/2022,07:37:03,67,68,60,20,
04/01/2022,07:47:03,67,68,60,20,
04/01/2022,07:57:03,67,68,60,20,
04/01/2022,08:07:03,68,68,60,20,
