Date,Time,ESP32 Temp 1,ESP32 Temp 2,ESP32 Set Point,ESP32 Tree Range,
03/07/2022,19:49:29,73,74,60,20,
03/07/2022,19:49:34,73,74,60,20,
03/07/2022,19:49:39,73,74,60,20,
03/07/2022,19:49:44,73,74,60,20,
03/07/2022,19:49:49,73,74,60,20,
03/07/2022,19:49:54,73,74,60,20,

03/07/2022,20:11:38,73,74,60,20,
03/07/2022,20:21:38,73,74,60,20,
03/07/2022,20:31:38,73,74,60,20,
03/07/2022,20:41:38,73,74,60,20,
03/07/2022,20:51:38,73,74,60,20,
03/07/2022,21:01:38,73,74,60,20,
03/07/2022,21:11:38,73,74,60,20,
03/07/2022,21:21:38,73,74,60,20,
03/07/2022,21:31:38,73,73,60,20,
03/07/2022,21:41:38,73,73,60,20,
03/07/2022,21:51:38,73,73,60,20,
03/07/2022,22:01:38,73,73,60,20,

