Date,Time,Current Temperature,Current Wind Speed,Current Wind Direction,Current Relative Humidity,Current Barometric Pressure,Current Rain Rate,Daily Rain Total,Month Rain Total,Year Rain Total,Windchill,Heat Index,Dewpoint,Daily High Temperature,Daily Low Temperature,Month High Temperature,Month Low Temperature,Year High Temperature,Year Low Temperature,Wind 10 minute Average,Wind 10 minute Gust,Daily Wind High,Month Wind High,Year Wind High
03/21/2022,11:00:14,60.7,2.0,276,45,30.271,0.0000,0.0000,0.2300,20.1800,61.0,58.0,39.0,61.0,40.1,80.0,33.6,83.0,29.0,2.0,4.0,5.0,13.0,18.0
03/21/2022,11:01:14,60.9,3.0,231,44,30.271,0.0000,0.0000,0.2300,20.1800,61.0,58.0,39.0,61.0,40.1,80.0,33.6,83.0,29.0,2.0,4.0,5.0,13.0,18.0
03/21/2022,11:02:14,61.1,3.0,186,43,30.269,0.0000,0.0000,0.2300,20.1800,61.0,58.0,38.0,61.1,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:03:14,61.1,2.0,300,43,30.266,0.0000,0.0000,0.2300,20.1800,61.0,58.0,38.0,61.1,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:04:14,61.2,2.0,114,44,30.267,0.0000,0.0000,0.2300,20.1800,61.0,59.0,39.0,61.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:05:14,60.8,2.0,123,42,30.268,0.0000,0.0000,0.2300,20.1800,61.0,58.0,37.0,61.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:06:14,60.7,1.0,134,42,30.263,0.0000,0.0000,0.2300,20.1800,61.0,58.0,37.0,61.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:07:14,61.0,2.0,193,42,30.265,0.0000,0.0000,0.2300,20.1800,61.0,58.0,38.0,61.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:08:14,61.2,2.0,230,43,30.265,0.0000,0.0000,0.2300,20.1800,61.0,59.0,38.0,61.2,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:09:14,61.7,1.0,237,44,30.263,0.0000,0.0000,0.2300,20.1800,62.0,59.0,39.0,61.7,40.1,80.0,33.6,83.0,29.0,2.0,7.0,7.0,13.0,18.0
03/21/2022,11:10:14,62.1,1.0,221,43,30.265,0.0000,0.0000,0.2300,20.1800,62.0,59.0,39.0,62.1,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:11:14,62.6,1.0,227,42,30.265,0.0000,0.0000,0.2300,20.1800,63.0,60.0,39.0,62.7,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:12:14,63.0,1.0,200,42,30.264,0.0000,0.0000,0.2300,20.1800,63.0,60.0,39.0,63.0,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:13:14,63.3,1.0,296,41,30.262,0.0000,0.0000,0.2300,20.1800,63.0,60.0,39.0,63.3,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:14:14,63.4,2.0,92,42,30.262,0.0000,0.0000,0.2300,20.1800,63.0,61.0,40.0,63.4,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
03/21/2022,11:15:14,63.3,4.0,221,41,30.263,0.0000,0.0000,0.2300,20.1800,63.0,60.0,39.0,63.4,40.1,80.0,33.6,83.0,29.0,2.0,4.0,7.0,13.0,18.0
